,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume
281,2020-02-27,0.16666666666666666,11661.25,11663.849609,11536.700195,11633.299805,11633.299805,608600.0
282,2020-02-26,-0.125,11738.549805,11783.25,11639.599609,11678.5,11678.5,567600.0
283,2020-02-25,-0.2,11877.5,11883.049805,11779.900391,11797.900391,11797.900391,461000.0
284,2020-02-24,0.0,12012.549805,12012.549805,11813.400391,11829.400391,11829.400391,490800.0
285,2020-02-20,0.16666666666666666,12119.0,12152.0,12071.450195,12080.849609,12080.849609,502600.0
286,2020-02-19,1.0,12090.599609,12134.700195,12042.099609,12125.900391,12125.900391,513600.0
287,2020-02-18,-0.25,12028.25,12030.75,11908.049805,11992.5,11992.5,676900.0
288,2020-02-17,0.1,12131.799805,12159.599609,12037.0,12045.799805,12045.799805,0.0
289,2020-02-14,0.2222222222222222,12190.150391,12246.700195,12091.200195,12113.450195,12113.450195,622800.0
290,2020-02-13,0.14285714285714285,12219.549805,12225.650391,12139.799805,12174.650391,12174.650391,501200.0
291,2020-02-12,0.6,12151.0,12231.75,12144.299805,12201.200195,12201.200195,411700.0
292,2020-02-11,0.5714285714285714,12108.400391,12172.299805,12099.0,12107.900391,12107.900391,480000.0
293,2020-02-10,0.0,12102.349609,12103.549805,11990.75,12031.5,12031.5,524700.0
294,2020-02-07,0.6666666666666666,12151.150391,12154.700195,12073.950195,12098.349609,12098.349609,473500.0
295,2020-02-06,0.0,12120.0,12160.599609,12084.650391,12137.950195,12137.950195,565100.0
296,2020-02-05,0.0,12005.849609,12098.150391,11953.349609,12089.150391,12089.150391,758000.0
297,2020-02-04,0.3333333333333333,11786.25,11986.150391,11783.400391,11979.650391,11979.650391,560400.0
298,2020-02-03,-0.16666666666666666,11627.450195,11749.849609,11614.5,11707.900391,11707.900391,669800.0
299,2020-01-31,0.0,12100.400391,12103.549805,11945.849609,11962.099609,11962.099609,771300.0
300,2020-01-30,0.3333333333333333,12147.75,12150.299805,12010.599609,12035.799805,12035.799805,538100.0
301,2020-01-29,0.5714285714285714,12114.900391,12169.599609,12103.799805,12129.5,12129.5,514400.0
302,2020-01-28,0.0,12148.099609,12163.549805,12024.5,12055.799805,12055.799805,478500.0
303,2020-01-27,-0.75,12197.099609,12216.599609,12107.0,12119.0,12119.0,441200.0
304,2020-01-24,0.2,12174.549805,12272.150391,12149.650391,12248.25,12248.25,593200.0
305,2020-01-23,0.5,12123.75,12189.0,12094.099609,12180.349609,12180.349609,867700.0
306,2020-01-22,0.0,12218.349609,12225.049805,12087.900391,12106.900391,12106.900391,500.0
307,2020-01-21,-0.16666666666666666,12195.299805,12230.049805,12162.299805,12169.849609,12169.849609,400.0
308,2020-01-20,0.2222222222222222,12430.5,12430.5,12216.900391,12224.549805,12224.549805,491600.0
309,2020-01-17,-0.5,12328.400391,12385.450195,12321.400391,12352.349609,12352.349609,502100.0
310,2020-01-16,0.5714285714285714,12347.099609,12389.049805,12315.799805,12355.5,12355.5,395700.0
311,2020-01-15,-0.25,12349.400391,12355.150391,12278.75,12343.299805,12343.299805,684400.0
312,2020-01-14,0.4444444444444444,12333.099609,12374.25,12308.700195,12362.299805,12362.299805,616300.0
313,2020-01-13,0.14285714285714285,12296.700195,12337.75,12285.799805,12329.549805,12329.549805,501000.0
314,2020-01-10,0.0,12271.0,12311.200195,12213.200195,12256.799805,12256.799805,660600.0
315,2020-01-09,0.75,12153.150391,12224.049805,12132.549805,12215.900391,12215.900391,477500.0
316,2020-01-08,0.0,11939.099609,12044.950195,11929.599609,12025.349609,12025.349609,446000.0
317,2020-01-07,0.14285714285714285,12079.099609,12152.150391,12005.349609,12052.950195,12052.950195,447800.0
318,2020-01-06,0.0,12170.599609,12179.099609,11974.200195,11993.049805,11993.049805,396500.0
319,2020-01-03,0.3333333333333333,12261.099609,12265.599609,12191.349609,12226.650391,12226.650391,428800.0
320,2020-01-02,0.2,12198.549805,12289.900391,12195.25,12282.200195,12282.200195,407700.0
321,2020-01-01,0.25,12202.150391,12222.200195,12165.299805,12182.5,12182.5,304100.0
322,2019-12-31,-0.1111111111111111,12247.099609,12247.099609,12151.799805,12168.450195,12168.450195,426900.0
323,2019-12-30,0.125,12274.900391,12286.450195,12213.799805,12255.849609,12255.849609,411100.0
324,2019-12-27,0.14285714285714285,12172.900391,12258.450195,12157.900391,12245.799805,12245.799805,383800.0
325,2019-12-26,0.3333333333333333,12211.849609,12221.549805,12118.849609,12126.549805,12126.549805,520300.0
326,2019-12-24,0.0,12269.25,12283.700195,12202.099609,12214.549805,12214.549805,470300.0
327,2019-12-23,0.0,12235.450195,12287.150391,12213.25,12262.75,12262.75,604800.0
328,2019-12-20,0.25,12266.450195,12293.900391,12252.75,12271.799805,12271.799805,810700.0
329,2019-12-19,0.14285714285714285,12223.400391,12268.349609,12191.150391,12259.700195,12259.700195,623100.0
330,2019-12-18,0.5714285714285714,12197.0,12237.700195,12163.450195,12221.650391,12221.650391,518900.0
331,2019-12-17,0.4,12082.450195,12182.75,12070.349609,12165.0,12165.0,499600.0
332,2019-12-16,0.2,12131.349609,12134.650391,12046.299805,12053.950195,12053.950195,437700.0
333,2019-12-13,0.8,12026.400391,12098.849609,12023.599609,12086.700195,12086.700195,597700.0
334,2019-12-12,0.6666666666666666,11944.299805,12005.5,11934.0,11971.799805,11971.799805,752600.0
335,2019-12-11,0.0,11867.349609,11923.200195,11832.299805,11910.150391,11910.150391,997700.0
336,2019-12-10,0.25,11950.5,11953.200195,11844.700195,11856.799805,11856.799805,650200.0
337,2019-12-09,0.2,11939.099609,11981.950195,11888.049805,11937.5,11937.5,599100.0
338,2019-12-06,-0.2,12047.349609,12057.049805,11888.849609,11921.5,11921.5,609200.0
339,2019-12-05,0.2857142857142857,12071.25,12081.200195,11998.75,12018.400391,12018.400391,562200.0
340,2019-12-04,1.0,11969.950195,12054.700195,11935.299805,12043.200195,12043.200195,747200.0
341,2019-12-03,0.0,12067.650391,12068.599609,11956.400391,11994.200195,11994.200195,605800.0
342,2019-12-02,-0.2,12137.049805,12137.150391,12023.700195,12048.200195,12048.200195,720900.0
343,2019-11-29,0.0,12146.200195,12147.400391,12017.400391,12056.049805,12056.049805,804400.0
344,2019-11-28,0.6666666666666666,12132.099609,12158.799805,12099.950195,12151.150391,12151.150391,620500.0
345,2019-11-27,0.2,12068.5,12114.900391,12055.150391,12100.700195,12100.700195,584200.0
346,2019-11-26,0.6,12110.200195,12132.450195,12006.349609,12037.700195,12037.700195,1201300.0
347,2019-11-25,0.6666666666666666,11922.450195,12084.5,11919.75,12073.75,12073.75,534300.0
348,2019-11-22,0.3333333333333333,11967.299805,11968.099609,11883.5,11914.400391,11914.400391,486800.0
349,2019-11-21,-0.5,12025.650391,12028.200195,11956.900391,11968.400391,11968.400391,557700.0
350,2019-11-20,0.6666666666666666,12004.75,12038.599609,11966.049805,11999.099609,11999.099609,646700.0
351,2019-11-19,0.42857142857142855,11919.450195,11958.849609,11881.75,11940.099609,11940.099609,613900.0
352,2019-11-18,0.25,11915.150391,11946.200195,11867.599609,11884.5,11884.5,514400.0
353,2019-11-15,-0.5,11904.200195,11973.650391,11879.25,11895.450195,11895.450195,580200.0
354,2019-11-14,0.75,11858.75,11895.650391,11802.650391,11872.099609,11872.099609,559500.0
355,2019-11-13,0.16666666666666666,11908.299805,11946.799805,11823.200195,11840.450195,11840.450195,659000.0
356,2019-11-11,0.375,11879.200195,11932.650391,11853.950195,11913.450195,11913.450195,549000.0
357,2019-11-08,0.3333333333333333,11987.150391,12034.150391,11888.75,11908.150391,11908.150391,789300.0
358,2019-11-07,0.3333333333333333,12021.099609,12021.400391,11946.849609,12012.049805,12012.049805,563000.0
359,2019-11-06,0.0,11911.5,12002.900391,11850.25,11966.049805,11966.049805,603400.0
360,2019-11-05,0.3333333333333333,11974.599609,11978.950195,11861.900391,11917.200195,11917.200195,632000.0
361,2019-11-04,0.4,11928.900391,11989.150391,11905.349609,11941.299805,11941.299805,823100.0
362,2019-11-01,0.6,11886.599609,11918.299805,11843.349609,11890.599609,11890.599609,855300.0
363,2019-10-31,0.6666666666666666,11890.450195,11945.0,11855.099609,11877.450195,11877.450195,1414800.0
364,2019-10-30,1.0,11883.900391,11883.950195,11784.450195,11844.099609,11844.099609,725200.0
365,2019-10-29,0.2,11643.950195,11809.400391,11627.349609,11786.849609,11786.849609,951700.0
366,2019-10-27,0.5714285714285714,,,,,,
367,2019-10-25,0.5,11646.150391,11646.900391,11490.75,11583.900391,11583.900391,812000.0
368,2019-10-24,-0.25,11661.650391,11679.599609,11534.650391,11582.599609,11582.599609,700500.0
369,2019-10-23,0.3333333333333333,11596.200195,11651.599609,11554.400391,11604.099609,11604.099609,664200.0
370,2019-10-22,-0.25,11657.150391,11714.349609,11573.650391,11588.349609,11588.349609,867600.0
371,2019-10-18,0.75,11580.299805,11684.700195,11553.150391,11661.849609,11661.849609,853400.0
372,2019-10-17,0.0,11466.299805,11599.099609,11439.650391,11586.349609,11586.349609,797600.0
373,2019-10-16,0.6666666666666666,11464.950195,11481.049805,11411.099609,11464.0,11464.0,533500.0
374,2019-10-15,0.6666666666666666,11360.849609,11462.349609,11342.099609,11428.299805,11428.299805,527400.0
375,2019-10-14,-0.3333333333333333,11335.900391,11420.450195,11290.049805,11341.150391,11341.150391,587600.0
376,2019-10-11,0.2,11257.700195,11362.900391,11189.400391,11305.049805,11305.049805,737800.0
377,2019-10-10,0.0,11280.5,11293.349609,11208.549805,11234.549805,11234.549805,562000.0
378,2019-10-09,0.75,11152.950195,11321.599609,11090.150391,11313.299805,11313.299805,741100.0
379,2019-10-07,-0.2,11196.200195,11233.849609,11112.650391,11126.400391,11126.400391,733200.0
380,2019-10-04,-0.25,11388.450195,11400.299805,11158.349609,11174.75,11174.75,928500.0
381,2019-10-03,0.0,11322.25,11370.400391,11257.349609,11314.0,11314.0,1017500.0
382,2019-10-01,-0.2,11515.400391,11554.200195,11247.900391,11359.900391,11359.900391,1305400.0
383,2019-09-30,-0.5,11491.150391,11508.25,11390.799805,11474.450195,11474.450195,756800.0
384,2019-09-27,0.5,11556.349609,11593.599609,11499.75,11512.400391,11512.400391,650000.0
385,2019-09-26,0.5555555555555556,11469.849609,11610.849609,11466.349609,11571.200195,11571.200195,844500.0
386,2019-09-25,0.3333333333333333,11564.849609,11564.950195,11416.099609,11440.200195,11440.200195,629100.0
387,2019-09-24,0.6666666666666666,11590.700195,11655.049805,11539.200195,11588.200195,11588.200195,651700.0
388,2019-09-23,0.25,11542.700195,11694.849609,11471.349609,11600.200195,11600.200195,882800.0
389,2019-09-20,0.25,10746.799805,11381.900391,10691.0,11274.200195,11274.200195,1356800.0
390,2019-09-19,0.0,10845.200195,10845.200195,10670.25,10704.799805,10704.799805,642600.0
391,2019-09-18,0.0,10872.799805,10885.150391,10804.849609,10840.650391,10840.650391,519200.0
392,2019-09-17,-0.6,11000.099609,11000.099609,10796.5,10817.599609,10817.599609,482000.0
393,2019-09-16,-0.25,10994.849609,11052.700195,10968.200195,11003.5,11003.5,434500.0
394,2019-09-13,0.6666666666666666,10986.799805,11084.450195,10945.75,11075.900391,11075.900391,624300.0
395,2019-09-12,-0.3333333333333333,11058.299805,11081.75,10964.950195,10982.799805,10982.799805,551400.0
396,2019-09-11,-0.2,11028.5,11054.799805,11011.650391,11035.700195,11035.700195,687100.0
397,2019-09-09,1.0,10936.700195,11028.849609,10889.799805,11003.049805,11003.049805,412500.0
398,2019-09-06,1.0,10883.799805,10957.049805,10867.450195,10946.200195,10946.200195,497200.0
399,2019-09-05,0.2,10860.950195,10920.099609,10816.0,10847.900391,10847.900391,595700.0
400,2019-09-04,0.3333333333333333,10790.400391,10858.75,10746.349609,10844.650391,10844.650391,508800.0
401,2019-09-03,-1.0,10960.950195,10967.5,10772.700195,10797.900391,10797.900391,483000.0
402,2019-08-30,0.75,10987.799805,11042.599609,10874.799805,11023.25,11023.25,628200.0
403,2019-08-29,-0.5,10996.049805,11021.099609,10922.400391,10948.299805,10948.299805,649900.0
404,2019-08-28,-0.1111111111111111,11101.299805,11129.650391,10987.650391,11046.099609,11046.099609,550000.0
405,2019-08-27,0.16666666666666666,11106.549805,11141.75,11049.5,11105.349609,11105.349609,685600.0
406,2019-08-26,0.75,11000.299805,11070.299805,10756.549805,11057.849609,11057.849609,684100.0
407,2019-08-23,0.2857142857142857,10699.599609,10862.549805,10637.150391,10829.349609,10829.349609,667100.0
408,2019-08-22,-0.16666666666666666,10905.299805,10908.25,10718.299805,10741.349609,10741.349609,668200.0
409,2019-08-21,0.1111111111111111,11018.150391,11034.200195,10906.650391,10918.700195,10918.700195,557900.0
410,2019-08-20,0.3333333333333333,11063.900391,11076.299805,10985.299805,11017.0,11017.0,444700.0
411,2019-08-19,0.3333333333333333,11094.799805,11146.900391,11037.849609,11053.900391,11053.900391,369500.0
412,2019-08-16,0.2857142857142857,11043.650391,11068.650391,10924.299805,11047.799805,11047.799805,470900.0
413,2019-08-14,0.7142857142857143,11003.25,11078.150391,10935.599609,11029.400391,11029.400391,511500.0
414,2019-08-13,0.3333333333333333,11139.400391,11145.900391,10901.599609,10925.849609,10925.849609,624600.0
415,2019-08-09,0.5,11087.900391,11181.450195,11062.799805,11109.650391,11109.650391,538100.0
416,2019-08-08,0.6666666666666666,10899.200195,11058.049805,10842.950195,11032.450195,11032.450195,482500.0
417,2019-08-07,-0.3333333333333333,10958.099609,10975.650391,10835.900391,10855.5,10855.5,548500.0
418,2019-08-06,0.5,10815.400391,11018.549805,10813.799805,10948.25,10948.25,517900.0
419,2019-08-05,-0.2,10895.799805,10895.799805,10782.599609,10862.599609,10862.599609,506600.0
420,2019-08-02,-0.25,10930.299805,11080.150391,10848.950195,10997.349609,10997.349609,547400.0
421,2019-08-01,-0.5,11060.200195,11076.75,10881.0,10980.0,10980.0,499900.0
422,2019-07-31,0.2,11034.049805,11145.299805,10999.400391,11118.0,11118.0,536700.0
423,2019-07-30,0.6,11213.700195,11267.450195,11072.650391,11085.400391,11085.400391,479100.0
424,2019-07-29,-0.2,11307.5,11310.950195,11152.400391,11189.200195,11189.200195,482900.0
425,2019-07-26,0.0,11247.450195,11307.599609,11210.049805,11284.299805,11284.299805,522700.0
426,2019-07-25,0.0,11290.400391,11361.400391,11239.349609,11252.150391,11252.150391,553700.0
427,2019-07-24,-0.5,11322.450195,11359.75,11229.799805,11271.299805,11271.299805,413200.0
428,2019-07-23,0.0,11372.25,11398.150391,11302.799805,11331.049805,11331.049805,458900.0
429,2019-07-22,-0.16666666666666666,11392.849609,11398.150391,11301.25,11346.200195,11346.200195,516000.0
430,2019-07-19,-0.5,11627.950195,11640.349609,11399.299805,11419.25,11419.25,446000.0
431,2019-07-18,-0.25,11675.599609,11677.150391,11582.400391,11596.900391,11596.900391,498300.0
432,2019-07-17,-0.1111111111111111,11670.75,11706.650391,11651.150391,11687.5,11687.5,464800.0
433,2019-07-16,0.8333333333333334,11596.650391,11670.049805,11573.950195,11662.599609,11662.599609,480200.0
434,2019-07-15,0.3333333333333333,11614.75,11618.400391,11532.299805,11588.349609,11588.349609,368800.0
435,2019-07-12,-0.5,11601.150391,11639.549805,11538.599609,11552.5,11552.5,359400.0
436,2019-07-11,0.7142857142857143,11561.450195,11599.0,11519.5,11582.900391,11582.900391,317300.0
437,2019-07-10,-0.5,11536.150391,11593.700195,11475.650391,11498.900391,11498.900391,337600.0
438,2019-07-09,0.0,11531.599609,11582.549805,11461.0,11555.900391,11555.900391,442500.0
439,2019-07-08,0.0,11770.400391,11771.900391,11523.299805,11558.599609,11558.599609,464000.0
440,2019-07-05,0.5,11964.75,11981.75,11797.900391,11811.150391,11811.150391,530700.0
441,2019-07-04,0.3333333333333333,11928.799805,11969.25,11923.650391,11946.75,11946.75,333600.0
442,2019-07-03,0.5,11932.150391,11945.200195,11887.049805,11916.75,11916.75,340500.0
443,2019-07-02,0.0,11890.299805,11917.450195,11814.700195,11910.299805,11910.299805,363200.0
444,2019-07-01,0.3333333333333333,11839.900391,11884.650391,11830.799805,11865.599609,11865.599609,278400.0
445,2019-06-28,0.16666666666666666,11861.150391,11871.700195,11775.5,11788.849609,11788.849609,303900.0
446,2019-06-27,0.8,11860.849609,11911.150391,11821.049805,11841.549805,11841.549805,480200.0
447,2019-06-26,0.3333333333333333,11768.150391,11871.849609,11757.549805,11847.549805,11847.549805,327900.0
448,2019-06-25,0.6666666666666666,11681.0,11814.400391,11651.0,11796.450195,11796.450195,300500.0
449,2019-06-24,0.2222222222222222,11725.799805,11754.0,11670.200195,11699.650391,11699.650391,277600.0
450,2019-06-21,0.0,11827.599609,11827.950195,11705.099609,11724.099609,11724.099609,468400.0
451,2019-06-20,0.4,11653.650391,11843.5,11635.049805,11831.75,11831.75,442000.0
452,2019-06-19,0.0,11744.450195,11802.5,11625.099609,11691.450195,11691.450195,446900.0
453,2019-06-18,0.16666666666666666,11677.049805,11727.200195,11641.150391,11691.5,11691.5,365500.0
454,2019-06-17,0.0,11844.0,11844.049805,11657.75,11672.150391,11672.150391,295500.0
455,2019-06-14,0.0,11910.099609,11911.849609,11797.700195,11823.299805,11823.299805,390300.0
456,2019-06-13,0.16666666666666666,11873.900391,11931.349609,11817.049805,11914.049805,11914.049805,447900.0
457,2019-06-12,0.5,11962.450195,11962.450195,11866.349609,11906.200195,11906.200195,283700.0
458,2019-06-11,0.0,11959.849609,12000.349609,11904.349609,11965.599609,11965.599609,332200.0
459,2019-06-10,0.25,11934.900391,11975.049805,11871.75,11922.700195,11922.700195,303300.0
460,2019-06-07,0.42857142857142855,11865.200195,11897.5,11769.5,11870.650391,11870.650391,302500.0
461,2019-06-06,0.0,12039.799805,12039.799805,11830.25,11843.75,11843.75,415200.0
462,2019-06-04,0.25,12052.650391,12095.200195,12005.849609,12021.650391,12021.650391,289200.0
463,2019-06-03,0.6,11953.75,12103.049805,11920.099609,12088.549805,12088.549805,315300.0
464,2019-05-31,0.5714285714285714,11999.799805,12039.25,11829.450195,11922.799805,11922.799805,438900.0
465,2019-05-30,0.6,11865.299805,11968.549805,11859.400391,11945.900391,11945.900391,421200.0
466,2019-05-29,0.0,11905.799805,11931.900391,11836.799805,11861.099609,11861.099609,318100.0
467,2019-05-28,0.5,11958.349609,11958.549805,11864.900391,11928.75,11928.75,598300.0
468,2019-05-27,0.42857142857142855,11855.5,11957.150391,11812.400391,11924.75,11924.75,348400.0
469,2019-05-24,0.14285714285714285,11748.0,11859.0,11658.099609,11844.099609,11844.099609,374600.0
